BREVITEST,,,,,,,,,,,,,,,Datasheet Box Link: https://app.box.com/folder/379359319033,,,,,,,,,,,,,,,,,,,,,,,,
Tag #,Equiment,Bench/Floor,Location,QTY,Dimensions (Inches),,,Power,Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,,,,,,,,,,,,,,,,,,,,,,,,
Spec Sheet,,,,,W,D,H,,,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-42,Computer Inspection Station 1,Bench,B-07,,12,12,10,120,N/A,N/A,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-43,Computer Inspection Station 2,Bench,B-07,,12,12,10,120,N/A,N/A,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-44,Computer Inspection Station 3,Bench,B-07,,12,12,10,120,N/A,N/A,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-45,Press 1,Bench,B-06,,9,12,16,120,100,0.83,,,Manufacturing ,,https://www.amazon.com/dp/B0DTDMCCT5?ref=cm_sw_r_cp_ud_dp_Y7ADYM0X76AHHM128GJH&ref_=cm_sw_r_cp_ud_dp_Y7ADYM0X76AHHM128GJH&social_share=cm_sw_r_cp_ud_dp_Y7ADYM0X76AHHM128GJH,,,,,,,,,,,,,,,,,,,,,,,,
E-46,Press 2,Bench,B-06,,19,20,16,120,900,7.5,,,Manufacturing ,,https://www.amazon.com/VEVOR-Heat-Press-Clamshell-Sublimation/dp/B0BQMK3MQF?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=ATVPDKIKX0DER&gQT=1&th=1,,,,,,,,,,,,,,,,,,,,,,,,
E-47,Cell Oven,Bench,B-04,,14,15,16,120,600,5.45,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-48,Height Stand and Block,Bench,B-09,,14,9,15,N/A,N/A,N/A,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-49,MFG Scale,Bench,B-09,,16,11,6,120,12,0.1,,,Manufacturing ,,https://file.ussolid.com/content/USS-DBS/Instruction%20Manual-81.pdf,,,,,,,,,,,,,,,,,,,,,,,,
E-50,Fume Extractor,UC,B-33,,12,10,37,120,350,3,,,Manufacturing ,,https://assets.ctfassets.net/ljtyf78xujn2/2NoH2N4ZexK9DqfFwhKPRy/69805bb8080d46d15696b48af90dde58/Glowforge_Air_Filter_User_Manual_v._1.0__1_.pdf,,,,,,,,,,,,,,,,,,,,,,,,
E-51,Air compressor,UC,B-07,,15,13,12,120,336,2.8,,,Manufacturing ,,https://makitatools.com/products/details/MAC100Q,,,,,,,,,,,,,,,,,,,,,,,,
