Inventory Code,Item,Current On Hand,CAS #,IFC Hazard Class,Physical State,HMIS Qty,HMIS Units,NFPA (H/F/R/Spec),Primary Chemical Name,Storage Code,Classification Notes,Inventory Link
D-013,EDTA,20 ml,6381-92-6,TOX,S,,,2/0/0/-,EDTA,M/1/4,"[High] H:H332,H373; manual-override:ifc,state,nfpa",https://fannininnovationstudio.box.com/s/ipvkg677r16mn8etcht5brob7n43uu07
D-014,Glycerol,1 L,56-81-5,C3B,L,0.2642,GA,1/1/0/-,Glycerol,M/1/4,"[High] FP=199.0C; no H-codes found; manual-override:ifc,state,nfpa",https://www.sigmaaldrich.com/US/en/sds/mm/356352-m?userType=anonymous
D-015,HEPES >99.5%,1000 ml,7365-45-9,NR,S,,,0/0/0/-,HEPES >99.5%,M/1/4,[Medium] no H-codes found,https://fannininnovationstudio.box.com/s/tk492o5wfd3a4dzg3323otucqztixb7t
D-016,Hydroxylamine HCL,250 mg,11/1/5470,"COR,TOX,OX1",S,0.0011,LB,3/3/1/OX,Hydroxylamine HCL,M/1/4,"[High] NFPA:explicit; no H-codes found; manual-override:ifc,state,nfpa",https://fannininnovationstudio.box.com/s/suyvrg5n7zsmb20tjbza3lgpa5enctdx
D-017,Ibuprofen,1 ml,15687-27-1,TOX,S,,,2/0/0/-,Ibuprofen,M/1/4,"[High] H:H302,H319,H335; manual-override:ifc,state,nfpa",https://fannininnovationstudio.box.com/s/1xruomzwgqht381ynmp9izlt9m34hanq
D-018,Imperial Protein stain,1 L,64-19-7 and 64-17-5,"COR,F1B",L,0.2642,GA,3/3/0/-,Imperial Protein stain,M/1/4,"[High] H:H314; NFPA:explicit; manual-override:ifc,state,nfpa",https://documents.thermofisher.com/TFS-Assets/LSG/SDS/24615_MTR-NALT_EN.pdf
D-019,Kynurenic acid,250 mg,492-27-3,NR,S,0.0006,LB,0/0/0/-,Kynurenic acid,M/1/4,[High] no H-codes found; manual-override:state,https://fannininnovationstudio.box.com/s/6ekvpozkozpkq45ftumk75y4b9xwuxss
D-020,L-Asorbic acid,1 g,50-81-7,NR,S,0.0022,LB,0/0/0/-,L-Asorbic acid,M/1/4,[High] no H-codes found; manual-override:state,https://fannininnovationstudio.box.com/s/wn5q1gjw56ikm3m0mvjlhchmb8pgbvc1
D-021,L-Krynurenine,25 mg,2922-83-0,NR,S,0.0001,LB,0/0/0/-,L-Krynurenine,M/1/4,[High] no H-codes found; manual-override:state,https://fannininnovationstudio.box.com/s/xzzw1i8nuezzxfcamkj6s5ctttmnwaix
D-022,L-Tryptophan,10 mg,73-22-3,NR,S,0,LB,0/0/0/-,L-Tryptophan,M/1/4,[Medium] no H-codes found,https://fannininnovationstudio.box.com/s/3lomk13wd1kyve52zm39p9ybhncgqlr3
D-023,Manganese (II) chloride solution,10 ml,1/5/7773,"TOX,COR",L,0.0026,GA,3/0/0/-,Manganese (II) chloride solution,M/1/4,"[High] H:H301,H318,H319,H373; manual-override:state",https://fannininnovationstudio.box.com/s/65d943vtpw4h90iprsg0zhu1vkbv54po
D-024,MES hydrate,25 g,1266615-59-1,NR,S,0.0551,LB,0/0/0/-,MES hydrate,M/1/4,[Medium] no H-codes found,https://www.sigmaaldrich.com/US/en/sds/sigma/m8250?userType=anonymous
D-025,phosphate buffered saline,1 L (2); 500 mL (3); 1000 mL,1 L (2); 500 mL (3); 1000 mL,NR,L,1.1888,GA,0/0/0/-,phosphate buffered saline,M/1/4,[Medium] no H-codes found,https://fannininnovationstudio.box.com/s/jx8pm9xaq6ft0evqurmsufxzxo9k9fke
D-026,Potassium Chloride,1 kg,7447-40-7; 1 kg,NR,?,2.2046,LB,0/0/0/-,Potassium Chloride,M/1/4,[Medium] no H-codes found,https://fannininnovationstudio.box.com/s/qox2mbomy7ilv7blrc88muno1p6qbwo6
D-027,Protein gel stain,1 L,1 L,"COR,F1B",L,1.0567,GA,2/3/0/-,Protein gel stain,M/1/4,"[High] H:H225,H318,H319,H402; manual-override:ifc,state,nfpa",https://fannininnovationstudio.box.com/s/lau2vcls7uzkrhv1ybl35mioc94xl3n6
D-028,PBS Tween-20,500 ml,J61544.K3,NR,L,0.3963,GA,0/0/0/-,PBS Tween-20,M/1/4,[Medium] NFPA:explicit; no H-codes found,https://fannininnovationstudio.box.com/s/640t0v49o49jges3ksa6z1m969nnf49u
